Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
02-02-2012,249.5,250,245.649994,248.949997,248.949997,11420854,28432.21569
03-02-2012,248.75,254,247.625,253.125,253.125,7457502,18876.80194
06-02-2012,255,258,250,253.850006,253.850006,8719312,22133.97404
07-02-2012,257,257.700012,254,254.649994,254.649994,6037854,15375.39485
08-02-2012,255.350006,258.899994,251.375,254.225006,254.225006,6930574,17619.25217
09-02-2012,252.850006,262.975006,252.824997,261.274994,261.274994,8680512,22680.00721
10-02-2012,261.399994,262.825012,257,258.75,258.75,5757586,14897.75378
13-02-2012,259.325012,262.5,257.950012,260.975006,260.975006,7307162,19069.86647
14-02-2012,261.25,261.899994,257.524994,258.950012,258.950012,6557414,16980.42434
15-02-2012,260.25,267.450012,258.625,266.524994,266.524994,9689792,25825.71755
16-02-2012,265.5,268.924988,261.625,263.225006,263.225006,4062132,10692.5472
17-02-2012,265.625,266.5,260.049988,264.149994,264.149994,7109824,18780.59967
21-02-2012,263,266.75,260.25,266.024994,266.024994,7415568,19727.26433
22-02-2012,265,269.450012,263.325012,265.725006,265.725006,6961554,18498.58978
23-02-2012,263.600006,267.975006,263.600006,266.575012,266.575012,8547874,22786.49614
24-02-2012,263.600006,267.700012,257.674988,262.325012,262.325012,8190084,21484.63884
27-02-2012,263.450012,265.725006,256.075012,257.799988,257.799988,7660646,19749.14447
28-02-2012,259.625,266.700012,256.600006,265.25,265.25,7400574,19630.02254
29-02-2012,266.950012,269.950012,256.674988,258.549988,258.549988,9994318,25840.30799
01-03-2012,258.5,261.149994,252.649994,257,257,6099246,15675.06222
02-03-2012,257,262.5,253.875,259.375,259.375,4058348,10526.34013
05-03-2012,260,260.475006,252.774994,255.475006,255.475006,5025686,12839.37161
06-03-2012,254.899994,260.5,251.625,253.699997,253.699997,5798594,14711.0328
07-03-2012,253.425003,259,248.774994,257.825012,257.825012,3788818,9768.520463
09-03-2012,261,263.5,259.825012,261.600006,261.600006,4657522,12184.07783
12-03-2012,267,267.25,258.5,259.475006,259.475006,5608692,14553.1539
13-03-2012,261.5,263.75,260.174988,262.200012,262.200012,5539714,14525.13077
14-03-2012,264.049988,265,260.725006,264.100006,264.100006,5860562,15477.74459
15-03-2012,264,265,254.524994,255.399994,255.399994,7469598,19077.35284
16-03-2012,255,262.450012,252.5,253.925003,253.925003,6405304,16264.66837
19-03-2012,255.024994,255.024994,247.550003,249.425003,249.425003,7649884,19080.7234
20-03-2012,248,255.425003,246.5,252.699997,252.699997,3162136,7990.717577
21-03-2012,251.5,258.924988,251.5,257.825012,257.825012,6010786,15497.30973
22-03-2012,256.950012,261.200012,250.050003,252.125,252.125,5640032,14219.93068
23-03-2012,254.75,259.375,250.475006,256.975006,256.975006,4023582,10339.60009
26-03-2012,256.75,258.25,252.824997,255.824997,255.824997,4916458,12577.52853
27-03-2012,257.5,260.899994,256,259.424988,259.424988,5928676,15380.467
28-03-2012,259.25,259.25,255.024994,256.725006,256.725006,4349746,11166.88568
29-03-2012,254,257.049988,252.5,255.050003,255.050003,8112558,20691.07942
30-03-2012,256,261.924988,254.875,259.924988,259.924988,5592488,14536.27376
02-04-2012,259,264.975006,258.049988,264.174988,264.174988,2765466,7305.669474
03-04-2012,266.5,268.200012,264,265.100006,265.100006,6460406,17126.53669
04-04-2012,262.625,264.5,262.200012,263.274994,263.274994,2087538,5495.965544
09-04-2012,261.875,263.149994,260,260.875,260.875,2518370,6569.797738
10-04-2012,261.700012,263,257.924988,262.424988,262.424988,2917036,7655.031373
11-04-2012,260.924988,265.475006,258.549988,263.225006,263.225006,3731624,9822.567498
12-04-2012,262.5,267.25,262.149994,265.200012,265.200012,6051644,16048.96061
13-04-2012,268.200012,268.875,261.950012,264.674988,264.674988,4916714,13013.31219
16-04-2012,264.450012,265.5,262.049988,264.875,264.875,8698042,23038.93875
17-04-2012,266,267.950012,260.549988,265.125,265.125,7832904,20766.98673
18-04-2012,266.5,269.950012,266.5,268.825012,268.825012,6000142,16129.88245
19-04-2012,270,277.799988,268.600006,277.024994,277.024994,8183338,22669.8916
20-04-2012,276.125,279,273.225006,275.549988,275.549988,7862550,21665.25558
23-04-2012,275.975006,278,271.649994,272.674988,272.674988,4218824,11503.67784
24-04-2012,273.049988,273.25,269.700012,270.924988,270.924988,4380390,11867.57108
25-04-2012,272,274.75,269,273.325012,273.325012,5389194,14730.01515
26-04-2012,272.5,274.975006,269.5,270.25,270.25,4669476,12619.25889
27-04-2012,271,273,267.100006,270.575012,270.575012,2274510,6154.255705
30-04-2012,271.899994,274.5,270.174988,271.25,271.25,3019510,8190.420875
02-05-2012,270.350006,275.5,270.350006,274.950012,274.950012,4489174,12342.98445
03-05-2012,272.75,279,272.725006,277.024994,277.024994,6857274,18996.36289
04-05-2012,275.600006,276.850006,267.325012,268.75,268.75,6175944,16597.8495
07-05-2012,265.950012,267.274994,258.200012,266.125,266.125,8356344,22238.32047
08-05-2012,266.450012,268.200012,256.625,257.674988,257.674988,5641540,14536.83752
09-05-2012,256.850006,261.299988,252.699997,256.325012,256.325012,7511996,19255.12465
10-05-2012,255.524994,261.450012,255,258.75,258.75,6042190,15634.16663
11-05-2012,256.625,260,254.100006,255.274994,255.274994,4025042,10274.92572
14-05-2012,255.375,255.899994,247.024994,250.274994,250.274994,5517424,13808.73258
15-05-2012,248,252.225006,248,249.550003,249.550003,4009732,10006.28633
16-05-2012,247,249.350006,243,247.600006,247.600006,8480436,20997.56004
17-05-2012,248.5,253.25,247.5,248.899994,248.899994,5809260,14459.24779
18-05-2012,244.899994,251.949997,244.5,250.274994,250.274994,4807208,12031.23953
21-05-2012,250.125,253.925003,246.975006,248.725006,248.725006,4271170,10623.46784
22-05-2012,251.899994,252.5,243.475006,244.625,244.625,5548406,13572.78818
23-05-2012,245,246.449997,241.100006,243.600006,243.600006,6347944,15463.59196
24-05-2012,246.5,251.350006,242.5,249.850006,249.850006,5769622,14415.40091
25-05-2012,249.899994,251.574997,247.800003,250,250,5597286,13993.215
28-05-2012,250.600006,255.300003,250,254.375,254.375,6103426,15525.58989
29-05-2012,255.074997,255.975006,251.050003,252.475006,252.475006,5286512,13347.12149
30-05-2012,250.024994,252.699997,248.274994,250.324997,250.324997,5083640,12725.62168
31-05-2012,248,254.449997,247.675003,253.100006,253.100006,9519560,24094.00693
01-06-2012,252,253.574997,245,245.199997,245.199997,5854374,14354.92487
04-06-2012,244,249.25,242.524994,247.824997,247.824997,5680484,14077.6593
05-06-2012,250,252.449997,249.225006,250.75,250.75,5355356,13428.55517
06-06-2012,252.425003,261.5,251.75,259.950012,259.950012,12545846,32612.92818
07-06-2012,262.100006,269.75,261.5,268.899994,268.899994,9900246,26621.7609
08-06-2012,270.450012,271.375,265.475006,269.549988,269.549988,9661372,26042.22707
11-06-2012,270.549988,274.450012,269.200012,270.975006,270.975006,6535942,17710.76923
12-06-2012,269.399994,275.424988,268.975006,274.799988,274.799988,5626920,15462.77548
13-06-2012,275.5,276.200012,269.899994,270.875,270.875,4032366,10922.6714
14-06-2012,270,273.700012,266.325012,267.200012,267.200012,4321276,11546.44999
15-06-2012,267.5,274.850006,267.475006,273.774994,273.774994,4966112,13595.97283
18-06-2012,276,276,264.774994,267.475006,267.475006,5618732,15028.70375
19-06-2012,267.399994,269.5,263.149994,268.225006,268.225006,5930368,15906.72992
20-06-2012,268.5,270.25,264.274994,267.100006,267.100006,4767236,12733.28764
21-06-2012,266.5,272.350006,265.649994,271.450012,271.450012,5326328,14458.318
22-06-2012,267.549988,272.549988,267.549988,272.174988,272.174988,3084408,8394.987104
25-06-2012,272.700012,274.25,267.5,268.350006,268.350006,3187424,8553.452495
26-06-2012,269,274,268.149994,271.725006,271.725006,2926564,7952.206205
27-06-2012,273,277.350006,273,274.5,274.5,5968644,16383.92778
28-06-2012,273.450012,276.325012,271.625,274.25,274.25,6071220,16650.32085
29-06-2012,276.049988,282.450012,276.024994,281.774994,281.774994,6329586,17835.19057
02-07-2012,282,287.5,280,286.975006,286.975006,4100762,11768.162
03-07-2012,287.950012,290,285.850006,287.924988,287.924988,4233400,12189.01644
04-07-2012,288.350006,290.424988,287.825012,289,289,6405142,18510.86038
05-07-2012,288.950012,292.5,287.725006,292.049988,292.049988,4190764,12239.12576
06-07-2012,291.049988,294.5,289.25,290.75,290.75,7870760,22884.2347
09-07-2012,289.975006,290.875,284.549988,289.075012,289.075012,3830580,11073.24959
10-07-2012,290,296.149994,288.75,294.325012,294.325012,6771508,19930.24173
11-07-2012,293.450012,296.899994,292.549988,293.5,293.5,6149722,18049.43407
12-07-2012,291.950012,295.450012,287.799988,290.049988,290.049988,3791874,10998.33008
13-07-2012,292.5,295.700012,291.225006,293.524994,293.524994,4754286,13955.0177
16-07-2012,294,296.350006,290.524994,291.325012,291.325012,6425080,18717.86508
17-07-2012,293.5,294.375,289.299988,291.625,291.625,4269678,12451.44847
18-07-2012,292.350006,294.350006,290.049988,293.5,293.5,3558998,10445.65913
19-07-2012,294.299988,295.399994,292.774994,294.700012,294.700012,2400224,7073.460416
20-07-2012,294.5,294.5,290.5,291.299988,291.299988,2084472,6072.066686
23-07-2012,288.700012,290,285.524994,286.5,286.5,3047264,8730.41136
24-07-2012,286.274994,288.725006,285.100006,287.024994,287.024994,2652794,7614.181819
25-07-2012,287.225006,290.399994,286.850006,288.024994,288.024994,4407852,12695.71546
26-07-2012,289,289.375,281.5,282.899994,282.899994,8852708,25044.3104
27-07-2012,286,294.350006,282.325012,292.299988,292.299988,6715436,19629.21862
30-07-2012,293.549988,295.950012,292,293.625,293.625,4233142,12429.5632
31-07-2012,295,295,289.924988,293.875,293.875,4195704,12330.12513
01-08-2012,292.774994,294.174988,288.799988,293.25,293.25,3935494,11540.83616
02-08-2012,293.25,294.600006,288.649994,291.25,291.25,3442730,10026.95113
03-08-2012,290.5,294.5,289.875,294.100006,294.100006,4975750,14633.68105
06-08-2012,296.575012,301,296.5,300.125,300.125,6164588,18501.46974
07-08-2012,301,301.149994,298.5,300.049988,300.049988,5614382,16845.95252
08-08-2012,300,301,297.350006,299.450012,299.450012,4026558,12057.52841
09-08-2012,300.5,303.5,299.25,302.325012,302.325012,4936560,14924.45561
10-08-2012,300,303.450012,299.825012,301.075012,301.075012,7563710,22772.44079
13-08-2012,300,304.75,300,303.725006,303.725006,4210852,12789.41049
14-08-2012,303.524994,304.5,301.625,304.075012,304.075012,5612784,17067.07362
16-08-2012,304,304.075012,298.924988,300.024994,300.024994,4071648,12215.96167
17-08-2012,299.299988,301.125,295.899994,297.549988,297.549988,3843078,11435.07813
21-08-2012,297.5,299.25,294.100006,298.200012,298.200012,4170420,12436.19294
22-08-2012,297.200012,300.225006,295.674988,298.450012,298.450012,4790430,14297.03891
23-08-2012,299.700012,302.274994,297.625,298.850006,298.850006,4712524,14083.37826
24-08-2012,296.75,300.200012,296.625,298.149994,298.149994,3354188,10000.51132
27-08-2012,297.5,299.450012,296.024994,297.174988,297.174988,2023362,6012.925781
28-08-2012,296.450012,297.274994,293.25,294.674988,294.674988,4447982,13107.09042
29-08-2012,294.625,297.899994,293.125,294.274994,294.274994,3364814,9901.806197
30-08-2012,293,301,293,297.950012,297.950012,11358202,33841.76422
31-08-2012,295.174988,300,294.625,297.674988,297.674988,6253370,18614.7184
03-09-2012,298.774994,298.899994,294,295.225006,295.225006,3718908,10979.14637
04-09-2012,295.274994,296.174988,293.600006,295.049988,295.049988,2886294,8516.010101
05-09-2012,294,298,293.674988,296.049988,296.049988,6079236,17997.57745
06-09-2012,295.049988,296.75,293.049988,294.075012,294.075012,2548726,7495.16629
07-09-2012,297.125,297.5,292.850006,295.200012,295.200012,5602574,16538.79912
10-09-2012,295.75,298.5,294.674988,295.575012,295.575012,3017446,8918.816377
11-09-2012,294.375,298.5,291.674988,297.200012,297.200012,3155772,9378.954763
12-09-2012,297.625,300,296.950012,299.600006,299.600006,3195508,9573.74216
13-09-2012,300.5,300.75,296.774994,299.600006,299.600006,1699880,5092.840582
14-09-2012,303.299988,307.375,300.475006,306.375,306.375,12885610,39478.28764
17-09-2012,309.5,309.975006,302.75,304.149994,304.149994,10543424,32067.82346
18-09-2012,304.149994,306,301.924988,302.725006,302.725006,5019588,15195.54807
20-09-2012,301,305,300.5,303.450012,303.450012,5245664,15917.96804
21-09-2012,304.350006,314.5,302.549988,312.575012,312.575012,11801424,36888.30248
24-09-2012,312.75,318.450012,311.399994,317.5,317.5,8787440,27900.122
25-09-2012,316.5,319.450012,313.075012,318.450012,318.450012,5843072,18607.26349
26-09-2012,317.424988,318.299988,312.075012,315.375,315.375,5365254,16920.6698
27-09-2012,316.5,318.5,312.600006,315.399994,315.399994,7930872,25013.96981
28-09-2012,315.950012,317.149994,313.049988,314.575012,314.575012,5503844,17313.71792
01-10-2012,314.5,316,310,311.424988,311.424988,4027392,12542.30505
03-10-2012,312,313.399994,308.975006,309.725006,309.725006,5516114,17084.78442
04-10-2012,310.75,316.950012,310.725006,315.649994,315.649994,6326032,19968.11963
05-10-2012,319,319.325012,252.524994,311.200012,311.200012,7473512,23257.57024
